,Comment,pru,npru
451,amigos uso twitter reclamar vida internet conta,0,1
587,galera canal youtube talvez aqui twitter fazer,0,1
1311,triste abrir twitter ver galerinha conversando super c outra galerinha perceber sozinha,0,1
708,apagar twitter dar,0,1
712,amo twitter posso postar quiser ler,1,0
1450,entrei twitter cedo timeline voltei agora nada,1,0
806,twitter aparece segue,1,0
515,twitter moral ee,0,1
895,twitter funciona,1,0
1192,vim twitter falar sono fazer dormir,0,1
1035,final eibar,0,1
961,twitter fazer igual facebook deixar geral fazer live mato,1,0
496,semana cansei twitter face whatsapp,1,0
304,dm legal twitter legal,1,0
658,vim twitter ver legais vi porra hein,0,1
557,todo mundo twitter falar queria,0,1
719,ainda bem twitter kk,1,0
1246,amo twitter porque aqui fala qualquer merda quase conhece,1,0
526,twitter ficar travando toda hora,1,0
971,celular faz twitter ficar tweet,0,1
1712,twitter travado,1,0
575,queria escrever penso caracteres twitter deixa,1,0
642,sinto vergonha pessoal twitter ver oq vendo imagina,0,1
418,pro dar jeito gente fazer block todas contas aparecem hein hein,1,0
1060,dar olhada twitter achar tristes sair chorando tomar cu,0,1
883,raiva salvar twitter,1,0
616,agr live twitter,1,0
1214,quero terminar ver algum anime escrever ficar twitter fazer ler algum ver,0,1
1817,ta hora twitter ter editar tweet,1,0
836,twitter parado vida amorosa,1,0
1947,twitter ficar mandando foto,1,0
562,sei onde ser twitter existisse,1,0
1827,vem mundo twitter ficar largar,1,0
2001,basta twitter fazer enquanto ler cenas ainda vir,1,0
304,amiga respondeu tweets,0,1
308,aqui tempo twitter direto dia ser aqui,1,0
41,mano ta tweets assim daqui pouco ta poder postar aqui,0,1
45,quero twitter bom msm nesse,1,0
546,deus amo twitter demais,1,0
1323,bom ver pessoa disse tava querendo chamar aqui twitter ficar querendo chama,0,1
218,fazer twitter novo coisas,1,0
712,vem vir twitter falar pessoal,0,1
1464,adoro twitter porque preciso achar link assistir nada tudo aqui,1,0
1855,sacanagem ter novo faz anos uso aqui daqui pouco orkut,1,0
1837,twitter ficar c,1,0
182,fiz twitter novo adorei entendi porque fez seguir gente,1,0
830,tava tava,0,1
410,twitter ficar maravilhoso jogo flamengo amo,1,0
1324,twitter lento,1,0
748,twitter chato,1,0
686,twitter ficar,0,1
1132,vim twitter dar,0,1
1139,twitter usar,0,1
1700,obrigado falar twitter aqui ta,1,0
1233,twitter poder ser melhor lugar bbb tempo lugar tudo,0,1
136,following vida ta tudo bem sim,0,1
671,twitter ver,0,1
952,respeito veio twitter falar mal camila veio lugar errado,0,1
1990,todos dias twitter dar silenciar pessoas,1,0
925,passou dia vez estado hoje tempo,0,1
548,bug twitter tava aparecendo aqui,1,0
286,cheguei mil tweets,0,1
1076,triste abrir twitter ver galerinha conversando super c outra galerinha perceber sozinha,0,1
989,falo merda twitter porque facebook parente,1,0
1477,nunca vi twitter movimentado desde,1,0
606,algum dia twitter deixar fazer rir,0,1
750,tomar abrir fazer nova twitter usar uu,0,1
1329,abrir twitter ver fala todas fechar twitter,0,1
796,venho aqui twitter falar sozinha,0,1
529,bom,0,1
570,twitter notificando monte coisa,1,0
1811,agora deu twitter ficar dando erro toda hora,1,0
1129,quais sao ficar twitter fazer acho,0,1
91,ler tweets assim chato tweetar assim bom hehehehe hehehehe hehehehe hehehehe hehehehe,0,1
443,bem ter tweets,0,1
74,rindo sobre tweets,0,1
1752,colocar foto twitter editar colocar la migo,1,0
276,twitter chato nota,1,0
663,adoro twitter porque aqui muitas pessoas,1,0
290,ainda porque twitter bom demais mostra,1,0
361,saudades twitter lindo,1,0
333,twitter lindo bad,1,0
1806,fazer favor deixar gente user celular bjs,1,0
1092,vida resumida fazer twitter twitter fazer outro twitter,0,1
489,cansada ter ficar wifi celular alguma coisa nesse twitter carregar,1,0
192,aqui twitter bom escola,1,0
471,hahaha tipo segue twitter ai normal posta foto video,0,1
567,porque merda twitter mostra pessoas sigo segue mim,1,0
306,twitter feliz,1,0
236,bom dia mundo,0,1
1009,twitter tudo vcs,1,0
10,querido sei mal editar tweets problemas,1,0
1715,preciso twitter semana casa,1,0
524,menos twitter explicar novela tempo fazer novela melhor ia ser bom talvez,0,1
472,anos entrar twitter ver novo,1,0
963,cria ai dormir esquecer sono vem twitter falar c,0,1
443,hoje dia vem twitter fazer fazia,1,0
1396,amo vir perfil ver segue lado nome,1,0
1326,vcs fotos twitter tao meio,1,0
196,faz twitter novo,1,0
1040,descanso eibar,0,1
1686,twitter aqui,1,0
202,twitter maldito monte,1,0
632,acho twitter ter twitter,0,1
555,ser,0,1
507,t conversa,0,1
722,pessoal twitter fazer,0,1
983,gosto twitter porque aqui fica fingindo feliz,1,0
224,twitter novo foda viu,1,0
30,twitter,1,0
1044,gosto twitter porque sai outro foda,1,0
1385,uso twitter porque caro,1,0
1627,pessoas usam twitter facebook credo,1,0
1535,novo twitter posso pessoas,1,0
453,tudo parado hoje wpp twitter face,1,0
1264,pai disse dar iphone fazer igual colega twitter ficar indignada min,0,1
834,dizer fazer todas,0,1
706,app twitter,1,0
1637,novo twitter,1,0
295,twitter novo merda,1,0
123,bem twitter hein,0,1
1148,amando tal twitter aqui gente pode ser facebook,1,0
407,ai acabar bem podia dar tweets,0,1
431,bem mil tweets enquanto todos,0,1
1504,uso twitter,1,0
1980,twitter ficar,1,0
849,twitter porra oq acontece aq,0,1
1503,twitter muitas pessoas rede social uso momento faz,1,0
301,sono fazendo sentido tweets,0,1
648,twitter tweets,1,0
1765,maior trevas uso twitter ter modo noturno,1,0
1721,pior povo twitter amo porra,1,0
653,twitter ter esquecer,0,1
1112,gente boa noite venho twitter poder ter seguidores,0,1
587,twitter hoje merda,1,0
1265,entrar vinha twitter fazer piada,0,1
1798,twitter ter modo noturno,1,0
1493,twitter facebook toda vez entro perfil,1,0
576,dias dizer twitter vamo,1,0
1603,twitter sempre mostrando melhor rede social bjs,1,0
1887,pro twitter ficar melhor faltava editar,1,0
1185,ai sei falando twitter falar sozinha,0,1
34,real quero logo tweets pouco,0,1
622,falei twitter fazer alguma c,0,1
1869,faz pro twitter ficar nesse modo noturno tbm quero,1,0
1586,quero trocar avatar twitter quero trocar avatar twitter faz,1,0
211,mundo twitter bom,0,1
4,twitter chato ultimamente povo fala sobre aqui olha gosto falar sobre,1,0
914,amando twitter assim todo escuro,1,0
1735,medo abrir twitter aqui,1,0
15,sentindo twitter novo,1,0
1167,preparando psicologicamente paulo ver twitter ficar porque,0,1
514,tempo fim aqui twitter,1,0
1950,vim twitter ver,1,0
621,amo twitter porque comigo sempre pergunta acontecendo,1,0
1936,twitter ruim,1,0
1071,ver anime olha jogo quer jogar ver video olha stts whatsapp stts whatsapp,0,1
1894,coisas sentir falta eh fim tag deixar,1,0
812,achei algo importante fazer vir twitter falar,0,1
1005,twitter chato,1,0
1495,hein usei twitter hahaha,1,0
745,twitter ficar mandando indiretas face ser ama,0,1
1255,twitter porque aqui,1,0
1231,nada fazer twitter assim mexer,1,0
1051,preciso colocar ta ver t,0,1
104,tudo bem vezes followers sempre dou,0,1
805,todo mundo vir twitter falar sozinha,0,1
1951,acho trocar twitter mudar outra conta,1,0
1521,pro dar jeito gente fazer block todas contas aparecem hein hein,1,0
881,pedir twitter dar twitter oficial,0,1
1225,contas twitter aqui celular,1,0
1431,finalmente consegui fazer twitter entrar celular novo ainda bugado caralho,1,0
981,twitter chato conhece lado bom vida,1,0
1130,posta twitter ter putaria kkkk kkk,0,1
460,tweets foda,0,1
399,devia abrir twitter fazer curtir bad alheia ta,1,0
940,cara vontade ir cara cara,0,1
517,fb volta pro twitter querer fazer,1,0
924,twitter parado credo,1,0
951,ah gente dizer hora desse twitter dar,1,0
615,pictwitter,0,1
683,twitter assim gostei,1,0
248,bom falar quiser twitter,0,1
1080,bom poder vir twitter falar sozinha,0,1
482,vez bom abrir twitter ver,1,0
77,acho fica lendo tweets antigos,0,1
499,vem twitter ficar bugado,1,0
385,podia ter dia oficial fandom tipo vontade tweets bem,0,1
276,tweets dia,0,1
1081,gosto twitter porque todo mundo daqui,1,0
1965,desse twitter ficar dando sozinho,1,0
788,twitter ficar amor agr ver wpp falta celular,0,1
348,alguem fc muitos tweets fc mim tipo seguidores,0,1
999,acho cara twitter porque nome,1,0
967,tava medo tava vim twitter dar cheguei coisa bastante viu,0,1
616,twitter falar sozinha,0,1
979,odeio twitter aqui,1,0
66,gente tweets hoje hoje kkkkkkkkk,0,1
1465,twitter,1,0
984,sei sair twitter,1,0
988,uso twitter menos kkk,1,0
298,twitter novo outro consigo usar,1,0
2013,trocar geral aqui twitter saber beleza,1,0
1907,boa twitter ter silenciar whatsapp,1,0
995,twitter parado,1,0
899,twitter ta desculpa ficou,1,0
461,toda vir pro twitter dar risada,1,0
1530,contas twitter,1,0
1021,outro twitter fazer talvez dias vida rs,0,1
1308,todos,0,1
19,following,0,1
148,fazer twitter novo fb faz tempo whatsapp merda snap ajuda,1,0
1310,conversar twitter aqui papo,1,0
1379,twitter abandonado existe,1,0
185,bom dia twitter,0,1
1098,agora twitter usar,0,1
692,porque twitter sei,1,0
824,fez merda ainda vir twitter fazer,0,1
1270,final eibar,0,1
1829,dia twitter achar,1,0
868,acho twitter ter salvar gif,1,0
240,bom dia twitter,0,1
1327,twitter ficar kkkk,1,0
1103,dar tarde coreia ai ver,0,1
263,pouco confusa twitter bom dia,1,0
1063,quero twitter ficar falando merda dia todo aqui prefiro vida real porra maior,0,1
581,sei usar twitter,1,0
94,ver bem antes,0,1
1271,tomar cu vem twitter saber vida outros,0,1
1146,bom povo twitter ver quais,0,1
827,tipo criar conta pessoal twitter seguir conversar nada maioria diz tao,0,1
541,fazer favor deixar gente user celular bjs,1,0
402,ah gente dizer hora desse twitter dar,1,0
1220,pode excluir snap parar seguir twitter apagar fotos pessoa rua,0,1
1002,conseguindo entrar twitter cedo,1,0
717,gente vem aqui twitter falar bosta sigo rir vergonha alheia pessoa passa,0,1
599,pessoa sai twitter ir,1,0
800,mano bosta vir twitter ver pena,0,1
912,bom,0,1
1897,fazer pessoas,1,0
466,fala respeito meio,0,1
467,gente faz twitter ficar preto,1,0
1127,vim twitter falar alguma coisa oq kkk,0,1
1197,vontade entra twitter aqui,1,0
1525,vejo twitter sei errado fazendo,1,0
105,follow consegue followers consegue bem,0,1
1196,obrigada modo noturno deixar twitter lindo,1,0
268,tweets antigos min,0,1
955,deus dias vir twitter vir aqui parece voltar vida,1,0
18,assistir following tudo ser,0,1
1158,entrar twitter porque,1,0
1790,twitter funcionar internet,1,0
485,passar,1,0
316,tava pensando vida social app twitter ruim desse jeito,1,0
1867,aguento twitter fazer,1,0
1013,desse twitter mal coisas aqui kkkkk fazer vamo ter kkkk,1,0
234,deus twitter lento,1,0
1236,vir aqui twitter falar merda,0,1
1632,twitter existisse,1,0
1974,pena twitter ter,1,0
1301,aqui twitter falar quanto,0,1
769,melhor forma sentir triste vir twitter ver pessoas,0,1
1113,vem aqui twitter dar moral gente,0,1
1780,saudade twitter falar sozinha faz louca,1,0
156,cansada dessa vida ficar fazendo twitter novo porque senha,1,0
195,gente nunca falo twitter lindo pqp,1,0
1223,twitter fazer bem olhar divulgar ai gente obrigado,0,1
124,nunca vi comigo twitter direto pergunta acontecendo,1,0
825,twitter deixa usar qualquer,1,0
1282,faz pro twitter ficar preto,1,0
1762,pro twitter ficar perfeito poderia ter,1,0
589,twitter travado,1,0
900,gente amo twitter porque aqui sempre gente amo gente,1,0
1016,tempos tempos vir twitter falar and,0,1
337,gente tweets sao,0,1
1142,menor fica deve ser maior ver posta twitter ficar,0,1
1281,acho sobre sentir favor,0,1
191,twitter novo saco,1,0
104,foto twitter louco fez favor apagar,1,0
483,vida twitter face migo site,1,0
1299,twitter chato c bonner,1,0
508,twitter estudar ver passa,0,1
302,twitter chato porra,1,0
675,todo mundo tomar vir twitter falar merda,0,1
1253,vezes venho twitter dar discurso vamo cara,0,1
1474,gosto twitter cheio madrugada,1,0
1077,dias vi tweet sobre twitter ter pessoas falando nada gente,0,1
667,olha twitter ver mina segue seguidores mil,0,1
480,medo twitter ficar pior orkut,1,0
71,bom twitter novo,1,0
1171,twitter porque vida real tudo bem,1,0
1656,ainda bem twitter consigo sentir melhor apenas falando sozinha escrever,1,0
1377,quero apagar twitter perdi senha,1,0
775,tag porque twitter mostrando,1,0
1850,tava hora twitter ter modo noturno pro,1,0
1174,saber porque coisa pc aparece celular,1,0
896,twitter saudades,1,0
1236,app twitter porque ficar aqui coisas ficando mim,1,0
583,ajudar sei usar ent venho twitter ver queria saber c,0,1
1270,gosto twitter porque aqui todo mundo fala sozinho liga,1,0
565,hahahaha twitter colabora,1,0
1554,aqui uso uso twitter vc,1,0
823,vem twitter ver postar stories,0,1
1095,odeio twitter porque fazer legal interessante porque sempre,1,0
169,twitter bom ver agr carregando chega,1,0
1831,faz twitter ficar desse cor,1,0
1593,vejo twitter onde,1,0
169,bom dia tempo todo,0,1
48,pouco tweets,0,1
1757,fazer sentir sozinha vir pro twitter fazer falar sozinha,1,0
351,twitter querido mim porque ficar bugando desse jeito,1,0
39,daqui pouco tweets ser tudo amo odeio gosto site,0,1
729,y pictwitter,0,1
594,twitter fazer ser,0,1
177,foda quer postar toda twitter ficar bom gosto,0,1
1835,sobre twitter ter parado pegar,1,0
39,kkkkkk sim twitter chato vc faz,1,0
468,pega fogo face pega fogo twitter ask ta amor amor todo mundo falando namoro,0,1
57,oi twitter bom ver,1,0
1293,quanto tempo anos twitter voltei,1,0
121,twitter dormir bem,0,1
898,merda twitter mostrar tweets,1,0
1057,venho twitter ver algo perdi,0,1
686,twitter gosta mim nunca deixa entrar,1,0
142,acho hora twitter faz bom tempo,0,1
419,li dois tweets sao bem vida sabe,0,1
353,tweets,0,1
1312,dias vi tweet sobre twitter ter pessoas falando nada gente,0,1
688,app twitter agora ter mudar,1,0
405,tweets uu bem,0,1
211,twitter bom demais mano,1,0
38,daqui pouco chego tweets ai,0,1
1254,coisa estar twitter querer ir outra fechar twitter,0,1
1737,deve ser legal ser entrar twitter falar alguma coisa todo mundo responder,1,0
296,twitter louco,1,0
905,twitter,1,0
223,sala bom dia twitter,0,1
1182,twitter chegando tudo porra,1,0
322,acho criar twitter novo deu desse,1,0
1061,twitter facebook,1,0
1774,lado ruim ter procurar pessoas novo,1,0
1939,alguma forma fazer twitter ficar ordem,1,0
545,gosta fazer horas twitter ver coisas,0,1
405,falo twitter fazer sinto vida,1,0
1,twitter legal,1,0
958,obrigada meninas twitter ter,0,1
654,ficam app site twitter nada,1,0
1262,vim twitter ver of,0,1
55,olha daqui pouco tweets pouco ta bom,0,1
1043,olho twitter aqui,1,0
253,lento,1,0
338,twitter novo vez,1,0
641,twitter atualiza,1,0
1021,twitter parecendo pode parar,1,0
1303,nunca fiz twitter porque,1,0
1114,demais twitter seguir melhor,0,1
138,querido editar ter apagar tweet erro,1,0
1892,lado bom twitter falar coisas liga,1,0
305,twitter novo saco tava,1,0
60,mil tweets pouco cara,0,1
1292,feliz twitter porque aqui ninguem faz live,1,0
1826,mandar twitter apagar faz vzs,1,0
189,twitter triste,1,0
359,seguindo achei tweets bem interessante,0,1
1403,triste ter fazer outro twitter porque consegue mudar foto perfil outro,1,0
538,passou hora twitter fazer editar tweet,1,0
716,mano twitter bloquear conta,1,0
495,nova modinha twitter legal,0,1
689,link aguento ficar twitter falar,0,1
1692,quase usando twitter,1,0
582,twitter chega beleza,1,0
1232,twitter,1,0
817,twitter tava entrando entrei,1,0
882,twitter celular internet raiva,1,0
703,quero deixa pouco vem twitter,0,1
465,acho twitter erro desculpa,1,0
1714,twitter,1,0
828,saudades chegar entrar twitter ver ficar,0,1
291,ter tweets kkkkkk,0,1
350,muitos tweets ser apenas fodase,0,1
1430,entrar perfil twitter vezes ver,1,0
675,uso twitter porque caro,1,0
447,amigos uso twitter reclamar vida internet conta,0,1
553,chato ficar twitter ta todo mundo ta escola,1,0
330,twitter novo parado vida,1,0
1118,amo twitter aqui todo mundo sabe outra rede gente,1,0
1187,vindo aqui casa foto vim twitter falar gente david t,0,1
17,twitter lindo gif amei parece ser legal,1,0
1224,entendo povo vem twitter fazer bem aqui twitter aqui terra regras,0,1
1052,gente vem twitter falar mau outros rua dois menor,0,1
227,twitter lindo,1,0
1992,dessa twitter ficar tweets perdi perdeu,1,0
932,nunca vi aqui twitter falar iria show msm coitada,0,1
1618,crl odeio poder fazer twitter caracteres mt interessante,1,0
741,passa vem twitter falar amar,0,1
49,consigo usar twitter direto,1,0
728,acho twitter volta,1,0
516,boa noite tempo entrar twitter,0,1
710,devia ter twitter twitter ter onde ir reclamar,1,0
1204,vim aqui twitter ver,0,1
1238,pessoas twitter fazer mandar,0,1
727,nada interessante nesse twitter bem poderia,1,0
569,twitter,1,0
1093,venho olhar twitter ficar olhando lindo kkkk,0,1
432,fiz apenas tweets bem,0,1
1436,entrar twitter porque aplicativo lixo,1,0
1854,madrugada aqui nada desse twitter ter,1,0
1338,nenhuma twitter,1,0
1018,vezes venho twitter dar discurso vamo cara,0,1
656,kkkkk ser cara vir twitter dar kkkk,0,1
289,twitter querido,1,0
1670,mundo tl desse twitter,1,0
1318,ser army apenas seguir twitter achar legais ser army madrugada causa c,0,1
1505,nunca usei tanto twitter hoje preciso conversar ficando louco,1,0
1612,porque twitter rede social aqui pessoal deus,1,0
1322,fazer sabe conta twitter ficar,0,1
543,triste vim pro twitter ver ficar melhor,1,0
1238,twitter movimentado dois anos,1,0
1150,aguardando twitter ficar legal hoje,0,1
233,bom dia tds twitter quero amor bom vida,0,1
1754,passou hora twitter deixar gente editar tweets gente vez ter twittar novo hein,1,0
313,ia sair quase mil tweets,0,1
775,boa ver vir twitter ver,0,1
785,pessoa segue vir twitter ver posto ser sei,0,1
134,twitter lindo,1,0
1066,ir twitter falar mal ti mal sabe falei mal,0,1
837,normal todas whatsapp vir aqui twitter falar gosta,0,1
1347,pessoas ainda facebook vem pro twitter aqui,1,0
1753,olha desativou alguns dias normal twitter dar bugada desativei ficou jeito,1,0
854,gente povo twitter entrar,0,1
548,hoje falar ver reclamar twitter ver dormir,0,1
1127,odeio ficar longe twitter porque aqui onde sobre tudo mundo,1,0
523,antes d ti pedir menos twitter,0,1
252,amigos usam twitter triste triste,1,0
1654,consegui twitter sei foto perfil,1,0
1815,twitter ter assim,1,0
637,vim twitter fazer todas fazer aqui c,0,1
1208,twitter kkk bosta,0,1
545,voltar dar amigos ver tweet anos,1,0
145,bom dia galera,0,1
1399,quase twitter voltei,1,0
1134,aqui fez tudo causa veio homem,0,1
1678,adoro twitter sabe amo,1,0
1056,saudade casa vinha twitter fazer,0,1
23,preciso twitter legal seguir,1,0
352,twitter tempo header adorei,1,0
171,bom povo,0,1
635,ir conta ter twitter algo assim rs chega,1,0
380,fico sempre hora tweets hoje tipo minutos tanto ainda bem,0,1
626,deus twitter existir reclamando vida,0,1
1078,ruim ver povo falando twitter falando mal meio mundo,1,0
1321,vindo twitter falar,0,1
1264,twitter parado vida amorosa,1,0
206,bom dia galera aqui deixar grande todos dia,0,1
634,posso mandar dm twitter manda mensagem sei,1,0
217,outro celular agr fica twitter direto,1,0
1042,amo twitter porque parentes sabe usar,1,0
678,uso twitter lugar venho triste vcs mim,1,0
338,tweets uu nesse twitter outro alguns kkk,0,1
328,acho pessoas seguidores tweets,0,1
1300,twitter porque consegue tudo novo bonner sei la,1,0
1507,ah twitter,1,0
1276,amo twitter aqui ngm,1,0
1414,twitter bugado vida amorosa,1,0
1184,ah amo twitter porque pode ter pessoas,1,0
1287,amo twitter gente,1,0
819,tudo igual dps aqui twitter falar quer homem bom,0,1
1989,queria twitter fazer sei oq colocar,1,0
533,deveria ser d alguns vem aqui twitter tag sabe twitter usar fica timeline,1,0
1982,twitter deixar existir desabafar,1,0
1426,desinstalei novo twitter porque tava,1,0
1223,quer dizer twitter porque receber,1,0
954,dessa classe enquanto classe acorda meio dia pega,0,1
826,gente amo twitter gente consegue ser algo ter twitter,1,0
1283,sei tou monte twitter tou,1,0
844,porra ainda fica vindo twitter falar quer oq,0,1
385,faz segue todos twitter dar vc responder todos mensagem,1,0
1861,twitter ficar perfeito editar tweet,1,0
661,todo tempo twitter ver gente falando vontade votar mau,0,1
1581,tentar dormir conseguir vir pro twitter dar muita risada dormir,1,0
1764,pena twitter ter limite,1,0
559,sair twitter hoje,1,0
638,twitter vida,1,0
1819,sabe faltava twitter ficar melhor ainda editar tweet,1,0
935,twitter pergunta acontecendo vontade desabafar tudo problemas,1,0
194,bom entrar aqui ver novos amigos seguindo obrigado bemvindos bom dia,0,1
661,vida twitter mesma,1,0
1015,adoro twitter porque falo caralho comigo mesma mi aparece,1,0
1239,twitter parado,1,0
422,acho devia ter todo dia pro twitter ficar bom desse jeito,1,0
581,gente mal acorda twitter falar bosta,0,1
56,daqui pouco tweets,0,1
1069,venho twitter falar merda,0,1
1318,internet maravilhosa twitter ainda,1,0
636,amiga cheguei casa twitter ver postou foto,0,1
705,causa twitter existir,0,1
547,twitter falar porque usando errado,0,1
70,twitter novo merda,1,0
936,coisa twitter dar tweets dei parar favor,1,0
527,melhor coisa entra twitter ver tag maravilhosa amo,1,0
179,twitter novo sempre deixa confusa,1,0
1373,nunca vi twitter parado,1,0
1357,amo twitter porque aqui,1,0
1646,facebook twitter twitter whatsapp,1,0
971,olha desativou alguns dias normal twitter dar bugada desativei ficou jeito,1,0
1316,faz coisa melhor vem twitter falar,0,1
1370,queria conseguir mudar nome twitter consigo,1,0
582,ajudar sei usar ent venho twitter ver,0,1
701,gente anos entro twitter sei mexer,1,0
867,twitter deixa editar,1,0
1023,twitter aqui pc legal,1,0
924,quero excluir facebook twitter ficar celular quer,0,1
317,twitter novo outro,1,0
309,tweets nunca aqui assim,0,1
643,odeio twitter atualiza timeline,1,0
487,dia usando hashtag twitter,0,1
1732,conta verificada twitter ver,1,0
498,queria falar aq twitter cara ai gente,0,1
1274,descanso eibar,0,1
685,twitter,1,0
578,desisto desse twitter hoje falta editar texto errado,1,0
1773,chega fim semana twitter ficar chato,1,0
1571,usando twitter bloco notas,1,0
1424,acho aplicativo twitter ficar lixo,1,0
595,preciso tomar vergonha cara twitter ter mexer,0,1
1687,sei usa twitter,1,0
836,sei bem fala nada deixa twitter ficar sai todo mundo ver,0,1
1499,bosta celular funciona twitter qualquer outro normal,1,0
987,seguidores twitter mudar bastante,0,1
1296,fica twitter,1,0
803,bom,0,1
531,faz twitter ficar preto assim,1,0
1900,deixando twitter ficar ruim novo fazer outro voltar pro pessoal usar ruim,1,0
981,globo quero bastante pessoal twitter poder fazer novos memes,0,1
1242,obrigada twitter quero saber pessoas perfil,1,0
1047,twitter conta,1,0
1281,twitter movimentado nunca,1,0
1212,uso twitter porque caro,1,0
959,sabem twitter apagar t,0,1
1325,pessoa ta conversando comigo vem twitter falar queria conversar todos dias bla bla bla,0,1
1205,vir twitter falar disso meter fotos deixar pior pensar fogo,0,1
1138,quase aqui twitter,1,0
491,agora twitter,0,1
1180,vejo hora twitter ficar,0,1
536,gente twitter ficar tempo entrar aqui precisando muita coisa fazendo mal,1,0
1649,twitter twitter,1,0
1559,ia ser legal twitter tumblr mim vontade largar coisas,1,0
891,vim twitter falar alguma coisa oq kkk,0,1
586,estar insta twitter ver youtube etc,0,1
490,dia usando hashtag twitter,0,1
947,vim twitter ver sentido d terra obrigado,0,1
751,bug twitter mostrar todas,1,0
9,fazer twitter novo facil,1,0
1183,quanto menos entro twitter gente segue,1,0
12,acho boa tweets menos semanas,0,1
1560,receber sobre tweets obrigada,1,0
618,twitter aparecendo seguir bosta,1,0
1313,gosto twitter porque nois alheia forma,1,0
69,melhor criar twitter novo poder tipo mt boa,1,0
920,paulo cruzeiro cruzeiro paulo sabe,0,1
29,twitter louco tal,1,0
903,twitter usar,0,1
628,bloquear twitter,1,0
107,sempre bem vindo twitter,0,1
1698,twitter,1,0
1042,link grupo flores desse twitter entrar jardim,0,1
687,twitter dando ver agora pessoas sabia,1,0
93,ter bem twitter followers,0,1
938,tweets alguem pode,1,0
259,twitter feliz porra vida vcs boa,1,0
1673,vivo twitter,1,0
1122,twitter porque fb whatsapp obrigada amigos,1,0
1977,triste vir aq twitter ver,1,0
1084,twitter vo mi bjs,1,0
874,twitter segue,1,0
1140,tou twitter volta haha,1,0
393,claro tweets frases bem,0,1
1983,vezes twitter dar louco,1,0
1326,pergunta,0,1
1173,twitter apagar parar seguir facebook melhor esquecer,0,1
544,porque frases insta stories tipo venham twitter fazer,0,1
776,coisa amo amigos ta tudo,1,0
929,bem outros fazem virem,0,1
35,real quero logo tweets pouco,0,1
1955,ruim demais twitter ter coisas ficam td,1,0
63,mil tweets daqui pouco,0,1
547,twitter ta,1,0
1420,gente socorro bosta twitter aqui nesse pc,1,0
228,fez twitter novo dei,1,0
37,outra conta ficou toda estar criar twitter novo,1,0
861,nunca perfil,1,0
979,amor mto obrigada twitter ter,0,1
391,tava chego casa dou cara tweets saber fazem bem,0,1
596,voltei pro twitter sei usa falar,1,0
668,agora twitter carrega timeline direito cada vez pior,1,0
235,twitter,1,0
456,tweets ai fala,0,1
